proto,src_ip,src_pt,dst_ip,dst_pt,ce,hae,lat,le,lon
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.700684","32.8771984","0.5","-114.205987"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.715683","32.8786424","0.5","-114.206509"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.14006","32.8809385","0.5","-114.210539"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.932892","32.8796669","0.5","-114.203649"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.700027","32.8772126","0.5","-114.205975"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.714706","32.8786583","0.5","-114.206498"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.962799","32.8796584","0.5","-114.20363"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.151031","32.8809426","0.5","-114.21056"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.69902","32.8772276","0.5","-114.205964"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.706238","32.8786733","0.5","-114.206487"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.973816","32.879649","0.5","-114.20361"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.181335","32.8809456","0.5","-114.210581"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.660461","32.8772433","0.5","-114.205953"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.705734","32.8786879","0.5","-114.206476"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.206772","32.8809482","0.5","-114.210604"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.99057","32.8796401","0.5","-114.203591"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.653763","32.8772586","0.5","-114.205943"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.728912","32.8787023","0.5","-114.206464"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.021652","32.8796321","0.5","-114.203574"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.214386","32.8809498","0.5","-114.210626"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.654984","32.8772734","0.5","-114.205934"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.75206","32.8787173","0.5","-114.206452"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.045242","32.8796248","0.5","-114.203555"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.209534","32.8809509","0.5","-114.210649"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.663101","32.877289","0.5","-114.205925"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.778671","32.8787317","0.5","-114.206438"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.197998","32.8809514","0.5","-114.210671"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.068298","32.8796167","0.5","-114.203534"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.677078","32.8773048","0.5","-114.205917"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.800705","32.8787457","0.5","-114.206424"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.201523","32.8809513","0.5","-114.210692"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.086227","32.8796092","0.5","-114.203513"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.701965","32.8773207","0.5","-114.205909"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.83075","32.8787592","0.5","-114.206411"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.207397","32.8809506","0.5","-114.210715"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.067688","32.8796029","0.5","-114.203493"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.715958","32.8773368","0.5","-114.205902"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.849396","32.8787729","0.5","-114.206396"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.201996","32.8809488","0.5","-114.210737"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.994919","32.8795968","0.5","-114.203473"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.724899","32.8773529","0.5","-114.205896"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.882004","32.8787859","0.5","-114.206382"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.184479","32.8809465","0.5","-114.210759"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.007385","32.8795911","0.5","-114.203452"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.729065","32.8773702","0.5","-114.20589"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.901825","32.8787989","0.5","-114.206367"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.938828","32.879585","0.5","-114.20343"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.15773","32.8809432","0.5","-114.210781"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.755707","32.8773871","0.5","-114.205885"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.928101","32.8788118","0.5","-114.206353"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.686707","32.8795804","0.5","-114.203406"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.130402","32.880939","0.5","-114.210803"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.780106","32.8774046","0.5","-114.20588"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.959976","32.8788243","0.5","-114.206338"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.60141","32.8795775","0.5","-114.203388"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.098709","32.8809342","0.5","-114.210824"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.792709","32.8774227","0.5","-114.205875"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.985474","32.8788373","0.5","-114.206323"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.6604","32.8795752","0.5","-114.203377"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.065964","32.8809286","0.5","-114.210846"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.803238","32.8774405","0.5","-114.205871"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.004761","32.8788494","0.5","-114.206308"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.668167","32.8795732","0.5","-114.203357"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.038788","32.8809222","0.5","-114.210866"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.812836","32.8774586","0.5","-114.205867"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.016663","32.8788618","0.5","-114.206294"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.597733","32.8795691","0.5","-114.20333"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.012695","32.8809154","0.5","-114.210886"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.82283","32.8774767","0.5","-114.205864"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.013977","32.8788755","0.5","-114.206279"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.67395","32.8795673","0.5","-114.203312"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.981964","32.8809074","0.5","-114.210906"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.817871","32.8774946","0.5","-114.20586"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.05983","32.8788894","0.5","-114.206266"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.704514","32.8795663","0.5","-114.203295"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.958267","32.8808985","0.5","-114.210925"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.809769","32.8775124","0.5","-114.205857"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.06459","32.8789031","0.5","-114.206252"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.637115","32.8795652","0.5","-114.20327"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.934982","32.8808893","0.5","-114.210943"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.80896","32.8775306","0.5","-114.205854"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.067413","32.8789167","0.5","-114.206237"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.284073","32.879564","0.5","-114.203246"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.910767","32.8808791","0.5","-114.210961"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.814865","32.8775495","0.5","-114.205851"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.113678","32.8789305","0.5","-114.206223"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.305237","32.8795639","0.5","-114.203227"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.895615","32.8808684","0.5","-114.210979"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.82283","32.8775681","0.5","-114.205848"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.134766","32.8789443","0.5","-114.20621"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.298508","32.8795651","0.5","-114.203212"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.880875","32.8808566","0.5","-114.210997"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.836838","32.8775864","0.5","-114.205845"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.131241","32.8789586","0.5","-114.206197"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.421661","32.8795666","0.5","-114.203201"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.866989","32.8808443","0.5","-114.211014"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.843903","32.877605","0.5","-114.205842"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.152252","32.8789728","0.5","-114.206183"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.631638","32.8795666","0.5","-114.203185"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.835419","32.8808317","0.5","-114.211032"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.84726","32.877623","0.5","-114.205839"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.186615","32.8789871","0.5","-114.20617"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.678146","32.8795669","0.5","-114.203155"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.807404","32.8808191","0.5","-114.211048"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.878708","32.8776404","0.5","-114.205836"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.206329","32.8790013","0.5","-114.206157"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.68924","32.8795666","0.5","-114.203124"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.77327","32.8808058","0.5","-114.211064"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.818741","32.8776594","0.5","-114.205834"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.229797","32.8790152","0.5","-114.206144"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.665131","32.8795636","0.5","-114.203104"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.740479","32.8807926","0.5","-114.21108"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.876129","32.8776773","0.5","-114.205831"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.274506","32.8790284","0.5","-114.206131"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.587814","32.8795668","0.5","-114.203081"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.709198","32.8807797","0.5","-114.211095"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.930405","32.8776952","0.5","-114.205828"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.298386","32.8790422","0.5","-114.206118"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.474716","32.8795693","0.5","-114.203059"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.674881","32.8807662","0.5","-114.211111"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.935913","32.8777142","0.5","-114.205825"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.313568","32.8790565","0.5","-114.206103"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.58168","32.879572","0.5","-114.203046"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.636765","32.8807532","0.5","-114.211126"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.975632","32.8777324","0.5","-114.205822"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.329178","32.87907","0.5","-114.206088"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.673004","32.8795756","0.5","-114.203027"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.607285","32.8807397","0.5","-114.211141"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.002487","32.8777508","0.5","-114.20582"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.334198","32.8790825","0.5","-114.206073"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.685272","32.8795783","0.5","-114.203001"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.584991","32.8807262","0.5","-114.211156"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.0177","32.8777691","0.5","-114.205817"
