Protocol,SourceIP,SourcePort,DestinationIP,DestinationPort,EventCallSign,How,Opex,QOS,Stale,Start,Time,EventType,UUID,Version,ce,hae,Lat,le,Lon,CallSign,Endpoint,ExtendedCot,Course,Slope,Speed,GimbalPitch,GimbalRoll,GimbalYaw,HomeLat,HomeLon,Azimuth,Elevation,FOV,Model,North,Range,Roll,SensorType,BatteryMaxCapacity,BatteryRemainingCapacity,FlightTime,VehicleType,TypeTag,Voltage,GPS,RSSI,URL
UDP,10.60.11.11,41633,239.2.3.1,6969,MCAS-1-AI2C,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,m5,2.0,0.5,181.727051,32.8802581,0.5,-114.210784,MCAS-1-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,56922,239.2.3.1,6969,MCAS-2-AI2C,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,grizA,2.0,0.5,186.067108,32.8805169,0.5,-114.201495,MCAS-2-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,59564,239.2.3.1,6969,MCAS-1-AI2C2,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,bae,2.0,0.5,182.36528,32.8795942,0.5,-114.206511,MCAS-1-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,48048,239.2.3.1,6969,MCAS-2-AI2C2,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,grizB,2.0,0.5,183.527832,32.8795865,0.5,-114.202855,MCAS-2-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,41633,239.2.3.1,6969,MCAS-1-AI2C,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,m5,2.0,0.5,181.713242,32.8802411,0.5,-114.210793,MCAS-1-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,56922,239.2.3.1,6969,MCAS-2-AI2C,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,grizA,2.0,0.5,185.989655,32.8805003,0.5,-114.201489,MCAS-2-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,59564,239.2.3.1,6969,MCAS-1-AI2C2,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,bae,2.0,0.5,182.379791,32.8796066,0.5,-114.206526,MCAS-1-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,48048,239.2.3.1,6969,MCAS-2-AI2C2,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,grizB,2.0,0.5,183.531738,32.8795889,0.5,-114.202836,MCAS-2-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,41633,239.2.3.1,6969,MCAS-1-AI2C,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,m5,2.0,0.5,181.704208,32.8802247,0.5,-114.210801,MCAS-1-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
UDP,10.60.11.11,56922,239.2.3.1,6969,MCAS-2-AI2C,m-f,s,7-r-c,2022-03-11T02:59:57Z,2022-03-10T16:59:57Z,2022-03-10T16:59:57Z,a-f-G-E-V,grizA,2.0,0.5,186.00206,32.8804855,0.5,-114.201482,MCAS-2-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live
